Time,Rabbit,Fox,FPS
1,112,0,29
2,123,0,4
3,125,0,14
4,125,0,34
5,125,0,25
6,128,0,30
7,131,0,21
8,136,0,19
9,142,0,10
10,146,0,33
11,138,0,18
12,129,0,19
13,122,0,21
14,114,0,44
15,112,0,1
16,109,0,42
17,105,0,25
18,102,0,31
19,98,0,33
20,95,0,30
21,98,0,16
22,94,0,35
23,93,0,45
24,94,0,27
25,89,0,29
26,93,0,34
27,93,0,44
28,94,0,15
29,97,0,22
30,98,0,32
31,93,0,14
32,95,0,37
33,92,0,17
34,96,0,34
35,93,0,22
36,92,0,47
37,97,0,31
38,99,0,38
39,100,0,37
40,100,0,38
41,101,0,9
42,103,0,24
43,102,0,38
44,99,0,28
45,96,0,28
46,93,0,43
47,94,0,25
48,96,0,31
49,99,0,32
50,97,0,35
51,97,0,30
52,98,0,43
53,97,0,38
54,99,0,32
55,95,0,32
56,95,0,41
57,94,0,40
58,91,0,36
59,90,0,39
60,89,0,30
61,89,0,37
62,91,0,44
63,87,0,49
64,88,0,44
65,88,0,19
66,86,0,37
67,87,0,40
68,87,0,48
69,89,0,39
70,92,0,37
71,94,0,35
72,94,0,44
73,94,0,39
74,94,0,38
75,96,0,47
76,95,0,47
77,100,0,39
78,105,0,33
79,105,0,31
80,106,0,36
81,107,0,36
82,106,0,33
83,104,0,35
84,102,0,43
85,101,0,41
86,99,0,34
87,99,0,28
88,96,0,38
89,93,0,35
90,89,0,41
91,83,0,47
92,80,0,28
93,82,0,39
94,82,0,46
95,83,0,52
96,83,0,40
97,82,0,30
98,83,0,28
99,85,0,38
100,87,0,44
101,88,0,11
102,87,0,28
103,86,0,23
104,87,0,27
105,87,0,26
106,84,0,37
107,84,0,39
108,86,0,46
109,89,0,31
110,88,0,36
111,88,0,35
112,89,0,32
113,87,0,24
114,87,0,27
115,87,0,24
116,89,0,29
117,91,0,30
118,92,0,37
119,93,0,34
120,92,0,38
121,93,0,28
122,94,0,23
123,95,0,25
124,97,0,25
125,97,0,7
126,96,0,23
127,98,0,41
128,96,0,31
129,99,0,35
130,99,0,33
131,101,0,32
132,100,0,34
133,100,0,30
134,102,0,29
135,101,0,31
136,104,0,21
137,107,0,34
138,109,0,35
139,110,0,29
140,110,0,36
141,110,0,32
142,109,0,7
143,112,0,23
144,112,0,23
145,112,0,29
146,110,0,24
147,109,0,33
148,109,0,35
149,109,0,36
150,110,0,37
151,108,0,35
152,107,0,36
153,106,0,22
154,107,0,19
155,107,0,22
156,106,0,25
157,103,0,33
158,103,0,29
159,104,0,34
160,107,0,26
161,109,0,39
162,108,0,21
163,106,0,20
164,105,0,22
165,104,0,25
166,104,0,24
167,104,0,28
168,103,0,31
169,102,0,29
170,102,0,31
171,103,0,32
172,103,0,32
173,103,0,14
174,104,0,24
175,101,0,20
176,100,0,30
177,98,0,23
178,98,0,33
179,97,0,34
180,97,0,43
181,97,0,32
182,96,0,33
183,96,0,30
184,96,0,26
185,96,0,27
186,93,0,23
187,91,0,30
188,91,0,41
189,93,0,38
190,94,0,29
191,94,0,40
192,93,0,35
193,93,0,18
194,94,0,23
195,94,0,19
196,94,0,29
197,93,0,26
198,92,0,43
199,90,0,36
200,89,0,36
201,88,0,36
202,86,0,33
203,85,0,35
204,86,0,23
205,86,0,36
206,87,0,26
207,91,0,31
208,93,0,35
209,96,0,35
210,101,0,29
211,103,0,33
212,103,0,24
213,104,0,20
214,107,0,20
215,110,0,20
216,111,0,22
217,112,0,21
218,112,0,26
219,116,0,29
220,118,0,31
221,118,0,29
222,115,0,21
223,114,0,26
224,115,0,21
225,120,0,20
226,116,0,23
227,117,0,22
228,122,0,17
229,122,0,21
230,122,0,23
231,124,0,22
232,122,0,23
233,123,0,26
234,126,0,18
235,126,0,20
236,127,0,16
237,124,0,16
238,122,0,8
239,118,0,29
240,117,0,30
241,117,0,26
242,114,0,24
243,112,0,29
244,111,0,16
245,108,0,23
246,112,0,22
247,111,0,20
248,110,0,22
249,107,0,24
250,109,0,31
251,112,0,30
252,113,0,25
